,word,counts
0,park,22517
1,canyon,9829
2,time,9806
3,hike,8287
4,day,7875
5,trail,7837
6,drive,7428
7,visit,7195
8,beautiful,7174
9,worth,6640
10,bryce,5728
11,center,5303
12,road,5154
13,rock,5132
14,walk,4968
15,food,4797
16,trip,4701
17,tour,4493
18,water,4474
19,view,4443
20,street,4258
21,lot,3631
22,visitor,3627
23,top,3496
24,shopping,3211
25,experience,3017
26,recommend,2825
27,night,2726
28,area,2597
29,loop,2509
30,rim,2453
31,enjoy,2362
32,cave,2282
33,parking,2270
34,beauty,2263
35,spectacular,2247
36,shop,2239
37,scenery,2181
38,plenty,2161
39,bring,2144
40,bit,2131
41,mile,2129
42,scenic,2116
43,river,2105
44,fun,2063
45,wonderful,1997
46,ranger,1992
47,car,1971
48,myeongdong,1938
49,utah,1903
50,sunset,1902
51,monument,1863
52,spent,1833
53,sky,1816
54,site,1786
55,drove,1764
56,hour,1753
57,love,1752
58,spend,1728
59,entrance,1710
60,place,1657
61,zion,1622
62,hoodoos,1616
63,sand,1578
64,climb,1547
65,history,1537
66,stay,1518
67,desert,1483
68,morning,1476
69,cool,1451
70,south,1441
71,awesome,1436
72,nature,1423
73,sunrise,1423
74,unique,1403
75,weather,1343
76,couple,1335
77,korean,1331
78,shuttle,1320
79,guide,1314
80,picnic,1314
81,summer,1309
82,campground,1304
83,valley,1280
84,point,1263
85,family,1262
86,mesa,1253
87,plan,1240
88,explore,1227
89,steep,1199
90,snow,1194
91,seoul,1193
92,stayed,1188
93,way,1186
94,sun,1178
95,helpful,1166
96,glad,1160
97,breathtaking,1146
98,north,1144
99,staff,1126
100,arch,1124
101,excellent,1108
102,pass,1103
103,half,1085
104,check,1077
105,favorite,1072
106,left,1065
107,store,1038
108,afternoon,1020
109,reef,1016
110,overlook,1014
111,capitol,1004
112,crowds,998
113,bridge,995
114,camp,988
115,landscape,983
116,clean,974
117,feel,973
118,path,953
119,forest,951
120,route,951
121,fee,949
122,moab,919
123,lake,918
124,spot,899
125,lava,897
126,start,890
127,lunch,884
128,mountain,871
129,cedar,859
130,crater,853
131,cold,850
132,watch,850
133,island,843
134,ride,840
135,navajo,819
136,etc,812
137,light,805
138,perfect,800
139,access,798
140,np,787
141,gift,787
142,service,784
143,elevation,774
144,colorado,772
145,country,759
146,dinosaur,754
147,garden,751
148,return,748
149,wildlife,737
150,petroglyphs,737
151,town,736
152,city,734
153,offer,727
154,list,711
155,rest,707
156,centre,702
157,hotel,700
158,winter,691
159,life,689
160,bottom,686
161,wear,683
162,eat,682
163,middle,680
164,husband,675
165,west,672
166,highway,670
167,spring,670
168,dark,668
169,bus,665
170,wall,664
171,variety,663
172,dirt,662
173,wife,660
174,price,656
175,creek,653
176,set,652
177,moon,648
178,week,645
179,head,642
180,museum,641
181,station,640
182,lodge,627
183,summit,623
184,cliff,601
185,pueblo,596
186,vehicle,590
187,map,589
188,rain,589
189,east,587
190,minute,586
191,heat,582
192,hill,580
193,season,575
194,photo,574
195,enter,571
196,person,570
197,pay,568
198,told,568
199,effort,566
200,quarry,565
201,location,564
202,geology,562
203,chaco,560
204,care,556
205,horse,556
206,distance,550
207,ancient,543
208,wow,538
209,volcano,537
210,deer,534
211,level,531
212,weekend,529
213,wait,517
214,tourist,516
215,stop,515
216,wild,512
217,fall,503
218,tree,502
219,cheap,502
220,travel,501
221,shade,497
222,peak,495
223,wood,493
224,warm,492
225,texas,492
226,magnificent,491
227,read,489
228,forget,489
229,arizona,489
230,market,487
231,round,485
232,wind,483
233,camera,483
234,rainbow,482
235,super,480
236,breath,477
237,district,475
238,ground,474
239,change,473
240,joshua,468
241,inspiration,466
242,house,466
243,choose,462
244,mind,459
245,imagine,457
246,clothing,447
247,skin,442
248,restaurant,440
249,ice,440
250,book,440
251,learn,437
252,building,436
253,windy,435
254,stuff,434
255,cavern,433
256,korea,431
257,peaceful,429
258,remote,425
259,quick,425
260,heard,423
261,cooler,421
262,air,419
263,pick,416
264,world,413
265,shape,412
266,attraction,411
267,dry,411
268,brand,411
269,movie,410
270,money,405
271,chance,401
272,film,399
273,break,398
274,land,397
275,pull,395
276,fine,395
277,deep,393
278,stone,391
279,preserve,390
280,blue,390
281,avoid,387
282,hat,385
283,mission,384
284,adventure,382
285,fashion,382
286,note,380
287,star,379
288,sight,379
289,video,379
290,entry,379
291,basin,378
292,sunscreen,376
293,sign,376
294,moderate,376
295,opportunity,374
296,cafe,373
297,awe,373
298,foot,371
299,pleasant,371
300,goblin,371
301,year,370
302,highlight,367
303,april,366
304,living,365
305,system,364
306,bend,364
307,kartchner,364
308,reach,363
309,july,363
310,amphitheater,362
311,idea,358
312,formation,356
313,traffic,356
314,base,356
315,mexico,352
316,size,351
317,dome,349
318,bucket,347
319,edge,346
320,understand,345
321,altitude,345
322,gem,343
323,rv,342
324,front,341
325,gas,339
326,lookout,339
327,june,337
328,gravel,336
329,hidden,335
330,amount,335
331,spending,334
332,hovenweep,334
333,hand,332
334,range,332
335,skincare,330
336,dog,328
337,drop,327
338,careful,325
339,earth,325
340,tent,325
341,santa,324
342,job,323
343,planning,323
344,rough,321
345,space,320
346,talk,320
347,sit,319
348,floor,318
349,camped,317
350,advance,316
351,multiple,315
352,neat,314
353,picture,313
354,touch,312
355,cost,310
356,glacier,310
357,bought,310
358,wash,309
359,october,308
360,cross,307
361,reason,307
362,built,303
363,brought,302
364,color,301
365,beaten,299
366,jeep,299
367,side,298
368,purchase,298
369,historic,298
370,waterton,298
371,viewpoint,297
372,vast,295
373,cone,294
374,corner,293
375,cheaper,291
376,cafes,291
377,reservation,290
378,justice,289
379,temperature,289
380,hwy,288
381,boat,286
382,provide,284
383,narrow,283
384,rent,282
385,verde,282
386,mid,281
387,review,281
388,cream,279
389,rio,277
390,fredericksburg,276
391,lotte,275
392,cabin,274
393,closer,272
394,destination,272
395,sense,271
396,hit,271
397,fill,271
398,wet,271
399,nps,270
400,culture,268
401,info,267
402,call,267
403,program,267
404,volcanic,266
405,story,266
