Topic0-主题词,Topic0-权重,,Topic1-主题词,Topic1-权重,,Topic2-主题词,Topic2-权重,,Topic3-主题词,Topic3-权重,,Topic4-主题词,Topic4-权重,,Topic5-主题词,Topic5-权重,,Topic6-主题词,Topic6-权重,,Topic7-主题词,Topic7-权重,,Topic8-主题词,Topic8-权重,,Topic9-主题词,Topic9-权重,,Topic10-主题词,Topic10-权重,,Topic11-主题词,Topic11-权重,,Topic12-主题词,Topic12-权重,,Topic13-主题词,Topic13-权重,
公交,0.003,,配套,0.003,,氛围,0.002,,对面,0.003,,风景,0.003,,值得,0.004,,够用,0.002,,值得,0.003,,度假,0.004,,停车场,0.002,,漂亮,0.003,,拍照,0.002,,打卡,0.003,,风景,0.003,
距离,0.003,,孩子,0.003,,正街,0.002,,露台,0.003,,小孩子,0.003,,舒适,0.003,,新颖,0.002,,房东,0.002,,房东,0.003,,打开,0.002,,退房,0.003,,下午茶,0.002,,好喝,0.003,,热情,0.003,
休闲,0.003,,广场,0.003,,还好,0.002,,楼梯,0.003,,国金,0.003,,出行,0.003,,便捷,0.002,,靠近,0.002,,态度,0.003,,小朋友,0.002,,马桶,0.003,,中心,0.002,,帮忙,0.003,,工作人员,0.003,
好看,0.003,,下楼,0.003,,电影,0.002,,打开,0.003,,宾馆,0.003,,条状,0.002,,布局,0.002,,路线,0.002,,泡澡,0.002,,橘子,0.002,,服务员,0.003,,冰箱,0.002,,评价,0.003,,服务态度,0.003,
广场,0.003,,舒心,0.003,,客厅,0.002,,周到,0.003,,办理,0.003,,拖地,0.002,,简单,0.002,,提供,0.002,,出去玩,0.002,,攻略,0.002,,地理位置,0.003,,合适,0.002,,价位,0.003,,宗街,0.003,
下午茶,0.003,,贴心,0.003,,房东,0.002,,很棒,0.003,,电器,0.003,,消息,0.002,,期待,0.002,,露台,0.002,,大哥,0.002,,优越,0.002,,投影仪,0.003,,地铁口,0.002,,自助,0.003,,宽敞,0.003,
选择,0.003,,老板娘,0.003,,对面,0.002,,好看,0.003,,回来,0.003,,滚筒,0.002,,只能,0.002,,押金,0.002,,酒吧,0.002,,夜市,0.002,,坡子,0.003,,发现,0.002,,亲子,0.003,,喜欢,0.003,
地铁,0.003,,总体,0.003,,停车,0.002,,客房,0.003,,套餐,0.003,,洗头水,0.002,,不让,0.002,,程序,0.002,,电视,0.002,,聚会,0.002,,卫生间,0.003,,热心,0.002,,一楼,0.003,,提前,0.003,
用心,0.003,,地铁站,0.003,,冬瓜,0.002,,很好,0.003,,商圈,0.003,,周到,0.002,,投影,0.002,,隔音,0.002,,氛围,0.002,,客服,0.002,,艺术,0.003,,风景,0.002,,睡觉,0.003,,舒适,0.003,
打卡,0.003,,客服,0.003,,完善,0.002,,机会,0.003,,对面,0.003,,缺点,0.002,,太辣,0.002,,提示,0.002,,接待,0.002,,冰箱,0.002,,正街,0.003,,氛围,0.002,,行李,0.003,,房间内,0.002,
风景,0.003,,打卡,0.003,,隔音,0.002,,总体,0.003,,宽敞,0.003,,点儿,0.002,,落俗,0.002,,便捷,0.002,,地铁口,0.002,,文和友,0.002,,图片,0.003,,正好,0.002,,游泳池,0.003,,投影仪,0.002,
早餐,0.003,,耐心,0.003,,天气,0.002,,好玩,0.002,,时间,0.003,,释放,0.002,,楼上楼下,0.002,,用心,0.002,,吃饭,0.002,,景点,0.002,,效果,0.003,,沟通,0.002,,味道,0.003,,用心,0.002,
老街,0.003,,浴缸,0.003,,巷子,0.002,,不到,0.002,,首选,0.003,,退房,0.002,,房主,0.002,,操作,0.002,,洗衣机,0.002,,介绍,0.002,,淋浴,0.003,,出行,0.002,,风格,0.003,,期待,0.002,
小吃,0.003,,家庭,0.003,,水果,0.002,,宽敞,0.002,,工作人员,0.003,,凉爽,0.002,,特色,0.002,,品味,0.002,,散步,0.002,,坡子,0.002,,贴心,0.003,,老人,0.002,,马路,0.003,,房子,0.002,
热情,0.003,,床上,0.003,,时间,0.002,,小孩,0.002,,体验,0.003,,自助,0.002,,接受,0.002,,广场,0.002,,宗街,0.002,,宽敞,0.002,,行李,0.003,,细致,0.002,,时间,0.003,,姐姐,0.002,
接到,0.003,,餐厅,0.003,,选择,0.002,,用心,0.002,,出门,0.003,,的士,0.002,,果树,0.002,,客房,0.002,,视野,0.002,,声音,0.002,,小伙伴,0.003,,客服,0.002,,江景,0.003,,房东,0.002,
空调,0.003,,推荐,0.003,,环境优美,0.002,,预定,0.002,,好看,0.003,,开好,0.002,,居住,0.002,,密码,0.002,,优雅,0.002,,环境优美,0.002,,广场,0.003,,放心,0.002,,开心,0.003,,建议,0.002,
名宿,0.003,,很大,0.003,,工作人员,0.002,,耐心,0.002,,地理位置,0.003,,玩住,0.002,,卫生设施,0.002,,卫生间,0.002,,凉爽,0.002,,地方,0.002,,公寓,0.003,,攻略,0.002,,态度,0.003,,投影,0.002,
热闹,0.003,,整洁,0.003,,酒吧,0.002,,只能,0.002,,老板娘,0.003,,地理位置,0.002,,回来,0.002,,整体,0.002,,不想,0.002,,逛街,0.002,,拼盘,0.003,,细心,0.002,,退房,0.002,,效果,0.002,
前台,0.003,,很好,0.003,,性价比,0.002,,宠物,0.002,,注意事项,0.003,,卷发,0.002,,全部都是,0.002,,担心,0.002,,布置,0.002,,建议,0.002,,小吃,0.003,,空气,0.002,,浴室,0.002,,便捷,0.002,
交通,0.003,,茶室,0.002,,网红,0.002,,介绍,0.002,,家庭,0.003,,容味,0.002,,再选,0.002,,提前,0.002,,早餐,0.002,,智能,0.002,,适合,0.003,,江景,0.002,,村子,0.002,,图片,0.002,
吃饭,0.003,,饮品,0.002,,出门,0.002,,很漂亮,0.002,,照片,0.003,,莲子,0.002,,出片,0.002,,小时,0.002,,出门,0.002,,告诉,0.002,,景点,0.003,,适合,0.002,,隔音,0.002,,帮忙,0.002,
装修,0.003,,烧烤,0.002,,景点,0.002,,烟霞,0.002,,出行,0.003,,好用,0.002,,不到,0.002,,确实,0.002,,地铁站,0.002,,放松,0.002,,打车,0.003,,院子,0.002,,挺大,0.002,,兄弟,0.002,
预定,0.001,,温柔,0.002,,友好,0.002,,冬瓜,0.002,,不错,0.003,,小巷,0.002,,慎选,0.002,,工作人员,0.002,,卫生间,0.002,,宗街,0.002,,老板,0.003,,客厅,0.002,,图片,0.002,,对面,0.002,
隔音,0.001,,焦虑,0.002,,评价,0.002,,整体,0.002,,细心,0.003,,地毯,0.002,,图片,0.002,,退房,0.002,,耐心,0.002,,密码,0.002,,热情,0.003,,布置,0.002,,宽敞,0.002,,很漂亮,0.002,
好喝,0.001,,订到,0.002,,地段,0.002,,广场,0.002,,服务态度,0.003,,自驾,0.002,,声音,0.002,,攻略,0.002,,外卖,0.002,,打车,0.002,,交通,0.003,,服务态度,0.002,,市中心,0.002,,下午茶,0.002,
住在一起,0.001,,和用,0.002,,洗衣,0.002,,拍照,0.002,,完美,0.003,,撸到,0.002,,隔音,0.002,,行李,0.002,,兄弟,0.002,,一楼,0.002,,视野,0.003,,前台,0.002,,好找,0.002,,逛街,0.002,
晾衣服,0.001,,喝茶,0.002,,遇见,0.002,,放心,0.002,,泳池,0.003,,小吃街,0.002,,大气,0.002,,下午茶,0.002,,送到,0.002,,酒店,0.002,,神仙,0.002,,一家人,0.002,,正街,0.002,,朋友,0.002,
舒适度,0.001,,宽敞,0.002,,想着,0.002,,坡子,0.002,,图片,0.003,,感到,0.002,,欠佳,0.002,,回来,0.002,,一号线,0.002,,地点,0.002,,甜美,0.002,,卫生间,0.002,,开关,0.002,,人员,0.002,
地铁口,0.001,,外出,0.002,,用心,0.002,,老街,0.002,,出去玩,0.003,,果汁,0.002,,麻烦,0.002,,周到,0.002,,烟霞,0.002,,可爱,0.002,,公园,0.002,,回来,0.002,,吃饭,0.002,,提出,0.002,
箱子,0.001,,优异,0.002,,咖啡,0.002,,预订,0.002,,性价比,0.003,,地铁,0.002,,不冰,0.002,,名宿,0.002,,一家人,0.002,,院子,0.002,,污渍,0.002,,来住,0.002,,可惜,0.002,,风格,0.002,
周记,0.001,,忙碌,0.002,,提供,0.002,,风景,0.002,,广场,0.002,,枕头,0.002,,下楼,0.002,,住店,0.002,,情侣,0.002,,好看,0.002,,排大,0.002,,休息,0.002,,漂亮,0.002,,惬意,0.002,
客栈,0.001,,漂亮妹妹,0.002,,二楼,0.002,,打卡,0.002,,开启,0.002,,送到,0.002,,网红店,0.002,,好看,0.002,,小店,0.002,,距离,0.002,,回答,0.002,,刷卡,0.002,,优美,0.002,,美食,0.002,
一楼,0.001,,大楼,0.002,,小哥,0.002,,家具,0.002,,布帘,0.002,,到达,0.002,,创意,0.002,,市中心,0.002,,很棒,0.002,,地铁站,0.002,,楼层,0.002,,订到,0.002,,露营,0.002,,回复,0.002,
写字楼,0.001,,走路,0.002,,特色,0.002,,提供,0.002,,再来,0.002,,步行,0.002,,体育场,0.002,,早餐,0.002,,店长,0.002,,装修,0.002,,小区,0.002,,退房,0.002,,回复,0.002,,很小,0.002,
坐在,0.001,,奶油,0.002,,小池,0.002,,步行街,0.002,,敞亮,0.002,,找到,0.002,,简陋,0.002,,交通,0.002,,睡眠,0.002,,服务态度,0.002,,确实,0.002,,睡觉,0.002,,小吃,0.002,,夜市,0.002,
好评,0.001,,不用,0.002,,原木,0.002,,兄弟,0.002,,烧烤,0.002,,咖啡厅,0.002,,关键,0.002,,贴心,0.002,,好用,0.002,,耐心,0.002,,口感,0.002,,复式,0.002,,停车,0.002,,露台,0.002,
大床,0.001,,自带,0.002,,洗衣机,0.002,,担心,0.002,,露台,0.002,,餐厅,0.002,,工作人员,0.002,,原本,0.002,,放松,0.002,,美食,0.002,,小孩儿,0.002,,还给,0.002,,特色,0.002,,特色,0.002,
脑袋,0.001,,男朋友,0.002,,集画,0.002,,超好,0.002,,吊椅,0.002,,睡眠,0.002,,杀猪,0.002,,高铁,0.002,,帮忙,0.002,,超高,0.002,,赞赏,0.002,,双人,0.002,,冰箱,0.002,,地方,0.002,
忘记,0.001,,心善,0.002,,客人,0.002,,惊喜,0.002,,介绍,0.002,,沟通,0.002,,楼道,0.002,,身份证,0.002,,宽敞,0.002,,满意,0.002,,蒸饺,0.002,,漂亮,0.002,,全程,0.002,,满满,0.002,
天气,0.001,,公寓,0.002,,居住,0.002,,景色,0.002,,洗澡,0.002,,马厂,0.002,,地库,0.002,,公寓,0.002,,图片,0.002,,路线,0.002,,打开,0.002,,投影仪,0.002,,景点,0.002,,阳台,0.002,
提早,0.001,,超近,0.002,,游客,0.002,,氛围,0.002,,宫格,0.001,,双床,0.002,,档次,0.002,,环境优美,0.002,,很大,0.002,,配套,0.001,,姐妹,0.002,,宗街,0.002,,泳池,0.002,,文艺,0.002,
装饰物,0.001,,来接,0.002,,大厅,0.002,,排队,0.002,,划算,0.001,,告诉,0.002,,完善,0.002,,线路,0.002,,家人,0.002,,地铁,0.001,,衣服,0.002,,鸳央,0.002,,电影,0.002,,再来,0.002,
