Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重,Topic15-主题词,Topic15-权重,Topic16-主题词,Topic16-权重,Topic17-主题词,Topic17-权重,Topic18-主题词,Topic18-权重
文艺,0.004,同价位,0.007,面积,0.004,味道,0.005,惊喜,0.004,地理位置,0.004,咖啡,0.003,感觉,0.005,大厦,0.003,吹风机,0.004,空调,0.004,旅住,0.004,运气,0.006,紧挨,0.004,购买,0.005,小店,0.004,巷子,0.003,很棒,0.004,音质,0.003
风格,0.004,周到,0.007,咖啡,0.004,隔断,0.005,氛围,0.004,洗漱,0.004,温暖,0.003,整洁,0.005,飞出去,0.003,浴缸,0.004,出行,0.004,公寓,0.004,友好,0.006,蛮横,0.003,住店,0.005,晚餐,0.004,疲惫,0.003,住房,0.003,讨厌,0.003
想念,0.004,地铁口,0.007,提早,0.004,好吃,0.005,很大,0.004,舒适,0.003,坐在,0.003,停车场,0.005,意外,0.003,密码锁,0.004,美好,0.004,连续,0.004,特色,0.006,短暂,0.003,开心,0.005,接受,0.004,咖啡,0.003,挑来,0.003,行程,0.003
咖啡店,0.004,小哥,0.007,号线,0.004,幸福,0.005,行李,0.004,靠山,0.003,耐心,0.003,日记,0.003,挂钩,0.003,文和友,0.004,家人,0.004,店面,0.004,出行,0.006,规律,0.003,离店,0.005,投影,0.004,房子,0.003,接受,0.003,天气,0.003
气息,0.004,电梯,0.007,脚印,0.004,隔音,0.005,空间,0.004,小度,0.003,水面,0.003,位置,0.003,听到,0.003,喜欢,0.004,小吃,0.004,文创,0.004,整理,0.006,极差,0.003,糕点,0.005,飞机,0.004,提前,0.003,提前,0.003,地漏,0.003
柜子,0.003,萝卜,0.007,便利性,0.004,值班,0.005,煮茶,0.004,广场,0.003,景点,0.003,解决,0.003,拉开,0.003,风格,0.004,客服,0.004,买买,0.004,贴心,0.006,繁琐,0.003,亚朵,0.005,休闲,0.004,好吃,0.003,很重,0.003,浴室,0.003
同学,0.002,国金,0.007,听到,0.004,情侣,0.005,好评,0.004,选择,0.003,前台,0.003,超好,0.003,工作人员,0.003,超好,0.004,心灵,0.004,打车,0.004,店长,0.006,坐在,0.003,状态,0.005,居住,0.004,出行,0.003,斜对面,0.003,阳台,0.003
拍照,0.002,结伴,0.007,缘故,0.004,解决,0.005,分离,0.004,晒太阳,0.003,文和友,0.003,宗街,0.003,小夜灯,0.003,距离,0.004,床铺,0.004,卫生间,0.004,装修,0.006,速度,0.003,洗漱,0.005,关上门,0.004,味道,0.003,实用,0.003,停车场,0.003
在意,0.002,卫生,0.007,回到,0.004,居住,0.005,对面,0.004,愉快,0.003,传统,0.003,大床,0.003,享受,0.003,会订,0.002,便宜,0.004,去逛,0.004,表扬,0.006,出差,0.003,不想,0.005,美食,0.004,可爱,0.003,脚印,0.003,意外,0.003
窗帘,0.002,进出,0.007,市中心,0.004,闺蜜,0.005,安排,0.004,距离,0.003,步行街,0.003,图书馆,0.003,眼罩,0.003,效果,0.002,打车,0.004,带来,0.004,自驾,0.006,房东,0.003,大床,0.005,机会,0.004,分离,0.003,没订,0.003,吸引,0.003
